investor_id,gap_days,risk_flag
INV000001,76.0,AT_RISK
INV000002,238.0,AT_RISK
INV000003,238.0,AT_RISK
INV000004,265.0,AT_RISK
INV000005,19.0,ACTIVE
INV000006,295.0,AT_RISK
INV000007,177.0,AT_RISK
INV000008,165.0,AT_RISK
INV000009,162.0,AT_RISK
INV000010,139.0,AT_RISK
INV000011,125.0,AT_RISK
INV000012,132.0,AT_RISK
INV000013,104.0,AT_RISK
INV000014,128.0,AT_RISK
INV000015,,ACTIVE
INV000016,,ACTIVE
INV000017,,ACTIVE
INV000018,50.0,AT_RISK
INV000019,406.0,AT_RISK
INV000020,16.0,ACTIVE
INV000021,282.0,AT_RISK
INV000022,40.0,AT_RISK
INV000023,115.0,AT_RISK
INV000024,167.0,AT_RISK
INV000025,,ACTIVE
INV000026,157.0,AT_RISK
INV000027,341.0,AT_RISK
INV000028,238.0,AT_RISK
INV000029,96.0,AT_RISK
INV000030,100.0,AT_RISK
INV000031,276.0,AT_RISK
INV000032,166.0,AT_RISK
INV000033,87.0,AT_RISK
INV000034,,ACTIVE
INV000035,144.0,AT_RISK
INV000036,99.0,AT_RISK
INV000037,63.0,AT_RISK
INV000038,183.0,AT_RISK
INV000039,129.0,AT_RISK
INV000040,118.0,AT_RISK
INV000041,,ACTIVE
INV000042,32.0,ACTIVE
INV000043,,ACTIVE
INV000044,17.0,ACTIVE
INV000045,109.0,AT_RISK
INV000046,54.0,AT_RISK
INV000047,77.0,AT_RISK
INV000048,168.0,AT_RISK
INV000049,425.0,AT_RISK
INV000050,143.0,AT_RISK
INV000051,82.0,AT_RISK
INV000052,120.0,AT_RISK
INV000053,7.0,ACTIVE
INV000054,103.0,AT_RISK
INV000055,156.0,AT_RISK
INV000056,161.0,AT_RISK
INV000057,149.0,AT_RISK
INV000058,121.0,AT_RISK
INV000059,,ACTIVE
INV000060,90.0,AT_RISK
INV000061,25.0,ACTIVE
INV000062,215.0,AT_RISK
INV000063,403.0,AT_RISK
INV000065,165.0,AT_RISK
INV000066,98.0,AT_RISK
INV000067,,ACTIVE
INV000069,129.0,AT_RISK
INV000070,145.0,AT_RISK
INV000071,57.0,AT_RISK
INV000072,247.0,AT_RISK
INV000073,112.0,AT_RISK
INV000074,191.0,AT_RISK
INV000075,102.0,AT_RISK
INV000076,203.0,AT_RISK
INV000078,,ACTIVE
INV000079,90.0,AT_RISK
INV000080,173.0,AT_RISK
INV000081,167.0,AT_RISK
INV000082,351.0,AT_RISK
INV000083,,ACTIVE
